                                                                     Probability
Types                                 thermophilic protein        non-thermophilic protein
thermophilic protein                   0.990849             0.00915097
non-thermophilic protein             0.20029             0.79971
thermophilic protein                   0.561548             0.438452
thermophilic protein                   0.725394             0.274606
thermophilic protein                   0.689912             0.310088
non-thermophilic protein             0.380818             0.619182
non-thermophilic protein             0.402911             0.597089
thermophilic protein                   0.873387             0.126613
non-thermophilic protein             0.0972778             0.902722
thermophilic protein                   0.992881             0.00711912
non-thermophilic protein             5.15022e-006             0.999995
thermophilic protein                   0.783913             0.216087
thermophilic protein                   0.83117             0.16883
thermophilic protein                   0.995879             0.00412124
thermophilic protein                   0.864596             0.135404
thermophilic protein                   0.758698             0.241302
non-thermophilic protein             0.00300681             0.996993
thermophilic protein                   0.875969             0.124031
thermophilic protein                   0.997515             0.00248487
thermophilic protein                   0.823198             0.176802
thermophilic protein                   0.719123             0.280877
non-thermophilic protein             0.00545471             0.994545
thermophilic protein                   0.999598             0.000402445
thermophilic protein                   0.986241             0.0137594
non-thermophilic protein             0.0146619             0.985338
non-thermophilic protein             0.120857             0.879143
non-thermophilic protein             0.425567             0.574433
thermophilic protein                   0.907766             0.092234
non-thermophilic protein             0.00326078             0.996739
thermophilic protein                   0.678076             0.321924
thermophilic protein                   0.664265             0.335735
thermophilic protein                   0.799747             0.200253
thermophilic protein                   0.997907             0.0020935
non-thermophilic protein             0.0157206             0.984279
thermophilic protein                   0.709611             0.290389
thermophilic protein                   0.566717             0.433283
thermophilic protein                   0.988116             0.0118841
non-thermophilic protein             0.232213             0.767787
thermophilic protein                   0.863014             0.136986
thermophilic protein                   0.997817             0.00218301
thermophilic protein                   0.994672             0.00532776
thermophilic protein                   0.992172             0.00782786
thermophilic protein                   0.91893             0.0810696
thermophilic protein                   0.993204             0.00679567
thermophilic protein                   0.986624             0.0133759
non-thermophilic protein             0.315656             0.684344
thermophilic protein                   0.995632             0.00436813
thermophilic protein                   0.966439             0.0335609
thermophilic protein                   0.99109             0.00890953
non-thermophilic protein             0.0604087             0.939591
thermophilic protein                   0.999486             0.00051392
thermophilic protein                   0.704821             0.295179
thermophilic protein                   0.986973             0.0130267
thermophilic protein                   0.990702             0.00929794
non-thermophilic protein             0.0142575             0.985742
non-thermophilic protein             0.051133             0.948867
non-thermophilic protein             0.451845             0.548155
non-thermophilic protein             0.128378             0.871622
thermophilic protein                   0.952801             0.0471994
thermophilic protein                   0.987402             0.0125982
thermophilic protein                   0.995877             0.00412275
non-thermophilic protein             0.0917893             0.908211
thermophilic protein                   0.925886             0.0741137
non-thermophilic protein             0.123488             0.876512
non-thermophilic protein             0.0190526             0.980947
non-thermophilic protein             0.382148             0.617852
thermophilic protein                   0.688724             0.311276 
thermophilic protein                   0.994724             0.00527556
non-thermophilic protein             0.205063             0.794937
thermophilic protein                   0.924851             0.0751491
thermophilic protein                   0.968449             0.0315505
thermophilic protein                   0.995629             0.00437068
non-thermophilic protein             3.14999e-006             0.999997
thermophilic protein                   0.994561             0.00543895
non-thermophilic protein             0.00255034             0.99745
thermophilic protein                   0.909036             0.0909643
thermophilic protein                   0.989055             0.0109449
non-thermophilic protein             0.408275             0.591725
thermophilic protein                   0.709123             0.290877
non-thermophilic protein             0.053174             0.946826
thermophilic protein                   0.684793             0.315207
non-thermophilic protein             0.0110455             0.988954
non-thermophilic protein             0.0675109             0.932489
non-thermophilic protein             0.471856             0.528144
non-thermophilic protein             0.0773927             0.922607
thermophilic protein                   0.998866             0.0011339
thermophilic protein                   0.957799             0.0422015
non-thermophilic protein             1.43397e-005             0.999986
thermophilic protein                   0.984888             0.0151117
non-thermophilic protein             0.0201803             0.97982
thermophilic protein                   0.818559             0.181441
thermophilic protein                   0.978444             0.0215562
non-thermophilic protein             0.0386654             0.961335
thermophilic protein                   0.99198             0.00801958
thermophilic protein                   0.949297             0.0507034
thermophilic protein                   0.983849             0.0161511
thermophilic protein                   0.743216             0.256784
thermophilic protein                   0.959113             0.0408875
thermophilic protein                   0.961424             0.0385758
thermophilic protein                   0.637535             0.362465
thermophilic protein                   0.999348             0.000651522
thermophilic protein                   0.996583             0.00341741
thermophilic protein                   0.998093             0.0019074
thermophilic protein                   0.988066             0.011934
thermophilic protein                   0.813672             0.186328
thermophilic protein                   0.90952             0.0904803
thermophilic protein                   0.912558             0.0874418
thermophilic protein                   0.997993             0.00200743
thermophilic protein                   0.996048             0.00395161
thermophilic protein                   0.901948             0.0980517
thermophilic protein                   0.752493             0.247507
non-thermophilic protein             0.129015             0.870985
thermophilic protein                   0.791778             0.208222
