@relation AAc_Train

@attribute A numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute K numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute V numeric
@attribute W numeric
@attribute Y numeric
@attribute Label {thermo,meso}

@data
0.046374,0.005902,0.062395,0.098651,0.040472,0.05059,0.021922,0.063238,0.080101,0.128162,0.016863,0.040472,0.042159,0.048061,0.043002,0.070826,0.038786,0.048061,0.010118,0.043845,thermo
0.169492,0.010169,0.044068,0.044068,0.030508,0.118644,0.013559,0.023729,0.023729,0.118644,0.023729,0.030508,0.061017,0.016949,0.067797,0.037288,0.044068,0.084746,0.013559,0.023729,thermo
0.111276,0.031157,0.048961,0.068249,0.029674,0.083086,0.025223,0.065282,0.051929,0.078635,0.032641,0.043027,0.045994,0.031157,0.045994,0.04451,0.048961,0.08457,0.008902,0.020772,thermo
0.062257,0.003891,0.035019,0.038911,0.085603,0.093385,0.015564,0.070039,0.042802,0.11284,0.031128,0.038911,0.050584,0.031128,0.038911,0.019455,0.023346,0.101167,0.031128,0.07393,thermo
0.138636,0.011364,0.040909,0.086364,0.027273,0.140909,0.020455,0.015909,0.013636,0.127273,0.006818,0.015909,0.045455,0.013636,0.109091,0.040909,0.025,0.102273,0.006818,0.011364,thermo
0.083333,0.011905,0.053571,0.053571,0.017857,0.077381,0.011905,0.077381,0.10119,0.10119,0.041667,0.029762,0.035714,0.011905,0.041667,0.059524,0.077381,0.095238,0,0.017857,thermo
0.069048,0,0.069048,0.080952,0.040476,0.045238,0.014286,0.083333,0.071429,0.069048,0.02381,0.071429,0.030952,0.021429,0.059524,0.095238,0.028571,0.057143,0.016667,0.052381,thermo
0.050489,0.013029,0.050489,0.105863,0.047231,0.042345,0.021173,0.09772,0.105863,0.084691,0.017915,0.057003,0.029316,0.022801,0.037459,0.061889,0.047231,0.071661,0,0.035831,thermo
0.11412,0.015474,0.056093,0.092843,0.01354,0.085106,0.01354,0.034816,0.032882,0.087041,0.01354,0.032882,0.05029,0.030948,0.083172,0.05029,0.056093,0.098646,0.01354,0.025145,thermo
0.115528,0.006211,0.048447,0.095652,0.037267,0.098137,0.02236,0.007453,0.027329,0.162733,0.008696,0.006211,0.064596,0.017391,0.110559,0.040994,0.028571,0.04472,0.027329,0.029814,thermo
0.192857,0.014286,0.05,0.05,0.014286,0.071429,0.028571,0.042857,0.014286,0.107143,0.021429,0.007143,0.021429,0.035714,0.1,0.035714,0.035714,0.107143,0.014286,0.035714,thermo
0.108571,0,0.025714,0.114286,0.065714,0.1,0.025714,0.028571,0.042857,0.128571,0.025714,0.011429,0.057143,0.034286,0.074286,0.02,0.028571,0.068571,0.014286,0.025714,thermo
0.048913,0,0.027174,0.005435,0.092391,0.130435,0.021739,0.146739,0.048913,0.130435,0.032609,0.043478,0.038043,0.005435,0.038043,0.059783,0.027174,0.054348,0.01087,0.038043,thermo
0.048246,0.004386,0.017544,0.030702,0.061404,0.092105,0.052632,0.122807,0.057018,0.135965,0.039474,0.008772,0.017544,0.017544,0.02193,0.083333,0.074561,0.061404,0.02193,0.030702,thermo
0.02,0,0.05,0.18,0.04,0.03,0.01,0.12,0.12,0.1,0.02,0.07,0.04,0.01,0.03,0.08,0.02,0.05,0,0.01,thermo
0.066445,0.013289,0.05814,0.08804,0.049834,0.056478,0.011628,0.081395,0.069767,0.07309,0.036545,0.036545,0.039867,0.026578,0.069767,0.084718,0.026578,0.051495,0.003322,0.056478,thermo
0.039293,0.011788,0.045187,0.100196,0.043222,0.043222,0.015717,0.092338,0.092338,0.100196,0.009823,0.058939,0.035363,0.041257,0.041257,0.066798,0.062868,0.039293,0.009823,0.051081,thermo
